Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
821,Final Fantasy III,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,3.86,3.86
822,Warriors Orochi,Series,N/A,Action,Unknown  ,Omega Force  ,,,,,,,,3.85,3.85
823,World Soccer Winning Eleven 8 International,PS2,2005,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,,0.16,1.89,1.12,0.68,3.85,,3.85
824,Resident Evil Zero,All,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,,3.85,3.85
825,Namco Museum Vol.1,PS,1996,Misc,Namco  ,Namco  ,,,2.12,1.44,0.22,0.06,3.84,,3.84
826,The Legend of Zelda: Link's Awakening,GB,1993,Adventure,Nintendo  ,Nintendo EAD  ,,,,,,,,3.83,3.83
827,Resident Evil VII: Biohazard,PS4,2017,Action,Capcom  ,Capcom  ,8.6,,,,,,,3.83,3.83
828,Final Fantasy VI,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,3.81,3.81
829,Monster Hunter Freedom Unite,PSP,2009,Role-Playing,Capcom  ,Capcom Production Studio 1  ,7.7,9.7,,,,,,3.8,3.8
830,Gran Turismo Sport,PS4,2017,Racing,Sony Interactive Entertainment  ,Polyphony Digital  ,,,0.63,2.35,0.24,0.54,3.77,,3.77
831,LEGO Indiana Jones: The Original Adventures,X360,2008,Adventure,LucasArts  ,Traveller's Tales  ,7.5,,2.4,1.01,,0.36,3.76,,3.76
832,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts  ,Maxis  ,7.3,,2.03,1.56,,0.17,3.76,,3.76
833,Tomodachi Collection,DS,2009,Misc,Nintendo  ,Nintendo SPD Group No.1  ,,,,,,,,3.76,3.76
834,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment  ,High Impact Games  ,8.5,,1.4,1.4,0.1,0.86,3.75,,3.75
835,Pokémon Trading Card Game,GB,2000,Strategy,Nintendo  ,Hudson Soft  ,8.3,,,,,,,3.72,3.72
836,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment  ,Insomniac Games  ,,,,,,,,3.71,3.71
837,FIFA 17,XOne,2016,Sports,Electronic Arts  ,EA Canada  ,8.8,,1.04,2.4,,0.27,3.71,,3.71
838,Hitman 2: Silent Assassin,All,N/A,Action-Adventure,Unknown  ,IO Interactive  ,,,,,,,,3.71,3.71
839,FIFA Soccer 2005,PS2,2004,Sports,EA Sports  ,EA Canada  ,8.4,,0.58,2.48,0.04,0.59,3.7,,3.7
840,Diablo III: Reaper of Souls,PC,2014,Action,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,3.7,3.7
841,Super Mario Maker,3DS,2016,Platform,Nintendo  ,Nintendo  ,7.3,,,,,,,3.68,3.68
842,The Legend of Zelda: Skyward Sword,Wii,2011,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,,,,,,3.67,3.67
843,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision  ,Neversoft Entertainment  ,9.6,,2.13,1.18,0.01,0.35,3.67,,3.67
844,Midnight Club 3: DUB Edition,PSP,2005,Racing,Rockstar Games  ,Rockstar Leeds  ,7.2,,1.65,1.22,,0.79,3.66,,3.66
845,MySims,DS,2007,Simulation,Electronic Arts  ,EA Redwood Shores  ,6.7,,1.58,1.6,0.08,0.4,3.66,,3.66
846,Banjo-Kazooie,N64,1998,Platform,Nintendo  ,Rare Ltd.  ,9.3,9.4,,,,,,3.65,3.65
847,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,8,,2.53,0.81,0.06,0.24,3.65,,3.65
848,Battlefield 4,PS3,2013,Shooter,Electronic Arts  ,EA DICE  ,8.7,,1.31,1.5,0.27,0.55,3.64,,3.64
849,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9,8.9,2.08,1.09,0.15,0.33,3.64,,3.64
850,Pokémon Snap,N64,1999,Simulation,Nintendo  ,HAL Laboratory  ,7.9,,,,,,,3.63,3.63
