Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
1,Pokemon,Series,1998,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,,368.04,368.04
2,Super Mario,Series,1983,Platform,Nintendo  ,Nintendo  ,,,,,,,,365.58,365.58
3,Grand Theft Auto,Series,1998,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,330,330
4,Call of Duty,Series,2003,Shooter,Activision  ,Infinity Ward  ,,,,,,,,300,300
5,FIFA,Series,1993,Sports,EA Sports  ,Extended Play Productions (1991-1997)  ,,,,,,,,282.4,282.4
6,Minecraft,Series,2011,Sandbox,Mojang  ,Mojang  ,,,,,,,,200,200
7,Minecraft,All,2011,Action-Adventure,Mojang  ,Mojang AB  ,,,,,,,,200,200
8,The Sims,Series,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,,200,200
9,Tetris,Series,1984,Puzzle,Unknown  ,Alexey Pajitnov  ,,,,,,,,171,171
10,Final Fantasy,Series,1987,Role-Playing,Square  ,Square  ,,,,,,,,154,154
11,Need for Speed,Series,1994,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,,150,150
12,Mario Kart,Series,1992,Racing,Nintendo  ,Nintendo  ,,,,,,,,148.76,148.76
13,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,140,140
14,Grand Theft Auto V,All,2013,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,135,135
15,Madden NFL,Series,1988,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,,130,130
16,Wii Sports,Series,2006,Sports,Nintendo  ,Nintendo  ,,,,,,,,116.04,116.04
17,The Legend of Zelda,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,,109.94,109.94
18,NBA 2K,Series,1999,Sports,Sega  ,Visual Concepts  ,,,,,,,,109,109
19,Pro Evolution Soccer,Series,1995,Sports,Konami  ,Konami  ,,,,,,,,106.8,106.8
20,Resident Evil,Series,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,,105,105
21,Lego,Series,1997,Action-Adventure,Mindscape  ,TT Fusion  ,,,,,,,,104.33,104.33
22,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,,,,,,82.9,82.9
23,Dragon Quest,Series,1986,Role-Playing,Square  ,ArtePiazza  ,,,,,,,,82,82
24,Gran Turismo,Series,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,,80.4,80.4
25,Battlefield,Series,2002,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,,78.9,78.9
26,Sonic the Hedgehog,Series,1991,Platform,Sega  ,Sonic Team  ,,,,,,,,76.64,76.64
27,Tomb Raider,Series,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,,75,75
28,Halo,Series,2001,Shooter,Microsoft Game Studios  ,Bungie  ,,,,,,,,71,71
29,Just Dance,Series,2009,Music,Ubisoft  ,Ubisoft  ,,,,,,,,70,70
30,PlayerUnknown's Battlegrounds,All,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,70,70
31,PUBG,Series,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,70,70
32,WWE 2K,Series,2000,Fighting,THQ  ,Visual Concepts  ,,,,,,,,70,70
33,Counter-Strike,Series,2000,Shooter,Valve  ,Valve  ,,,,,,,,65,65
34,Monster Hunter,Series,2004,Role-Playing,Capcom  ,Capcom  ,,,,,,,,65,65
35,The Oregon Trail,Series,2071,Education,MECC  ,MECC  ,,,,,,,,65,65
36,Donkey Kong,Series,1981,Platform,Nintendo  ,Nintendo  ,,,,,,,,63.06,63.06
37,Super Smash Bros.,Series,1999,Fighting,Nintendo  ,Nintendo  ,,,,,,,,62.36,62.36
38,Animal Crossing,Series,2002,Simulation,Nintendo  ,Nintendo  ,,,,,,,,60.67,60.67
39,The Elder Scrolls,Series,1994,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,,58.62,58.62
40,Borderlands,Series,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,,58.5,58.5
41,Dragon Ball,Series,1986,Role-Playing,Bandai  ,Tose  ,,,,,,,,57.1,57.1
42,Metal Gear,Series,1987,Action-Adventure,Konami  ,Konami  ,,,,,,,,55,55
43,Mortal Kombat,Series,1992,Fighting,Midway  ,Avalanche Software  ,,,,,,,,54,54
44,Mario Party,Series,1999,Party,Nintendo  ,Hudson Soft  ,,,,,,,,53.95,53.95
45,Far Cry,Series,2004,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,,52.5,52.5
46,God of War,Series,2005,Action,Sony Computer Entertainment  ,SIE Santa Monica Studio  ,,,,,,,,51,51
47,Red Dead,Series,2004,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,,51,51
48,Tekken,Series,1994,Fighting,Namco  ,Bandai Namco Studios  ,,,,,,,,50.52,50.52
49,Bejeweled,Series,2001,Puzzle,PopCap Games  ,PopCap Games  ,,,,,,,,50,50
50,Crash Bandicoot,Series,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,50,50
51,Diablo,Series,1997,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,,,,,,,,50,50
52,Lego Star Wars,Series,2005,Action-Adventure,Eidos Interactive  ,TT Fusion  ,,,,,,,,50,50
53,The Witcher,Series,2007,Role-Playing,Atari  ,CD Projekt Red Studio  ,,,,,,,,50,50
54,Fallout,Series,1997,Role-Playing,Interplay Productions  ,Interplay Entertainment  ,,,,,,,,46.43,46.43
55,Warriors,Series,1997,Action,KOEI  ,Omega Force  ,,,,,,,,45.26,45.26
56,Street Fighter,Series,1987,Fighting,Capcom  ,Capcom  ,,,,,,,,45,45
57,Uncharted,Series,2007,Shooter,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,44.25,44.25
58,Civilization,Series,1991,Strategy,Microprose  ,Firaxis Games  ,,,,,,,,44,44
59,Wii Fit,Series,2008,Misc,Nintendo  ,Nintendo  ,,,,,,,,43.8,43.8
60,Star Wars: Battlefront,Series,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,,43,43
61,Harry Potter,Series,2001,Action-Adventure,Electronic Arts  ,Griptonite Games  ,,,,,,,,42.7,42.7
62,Super Mario Bros.,NES,1985,Platform,Nintendo  ,Nintendo EAD  ,10,8.2,,,,,,40.24,40.24
63,Kirby,Series,1992,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,,40.13,40.13
64,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve  ,Valve Corporation  ,,,,,,,,40,40
65,Guitar Hero,Series,2005,Music,Activision  ,Harmonix  ,,,,,,,,40,40
66,Medal of Honor,Series,1999,Shooter,Electronic Arts  ,"2015, Inc.  ",,,,,,,,39,39
67,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,,,,,,37.38,37.38
68,World of WarCraft,Series,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,36.9,36.9
69,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,36.6,36.6
70,Mega Man,Series,1987,Platform,Capcom  ,Capcom  ,,,,,,,,36,36
71,Tom Clancy's Rainbow Six,Series,1998,Shooter,Red Storm Entertainment  ,Ubisoft  ,,,,,,,,36,36
72,NBA Live,Series,1994,Sports,EA Sports  ,EA Canada  ,,,,,,,,35,35
73,Tom Clancy's Ghost Recon,Series,2001,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,,35,35
74,BioShock,Series,2007,Shooter,2K Games  ,Irrational Games  ,,,,,,,,34,34
75,Red Dead Redemption 2,All,2018,Action-Adventure,Rockstar Games  ,Rockstar Studios  ,,,,,,,,34,34
76,Brain Age,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,,33.89,33.89
77,Minecraft,PC,2010,Misc,Mojang  ,Mojang AB  ,10,,,,,,,33.15,33.15
78,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8,8.8,,,,,,33.14,33.14
79,Half-life,Series,1998,Shooter,Sierra Studios  ,Valve  ,,,,,,,,33.1,33.1
80,Kingdom Hearts,Series,2002,Role-Playing,Square  ,Square  ,,,,,,,,32,32
81,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,Game Freak  ,9.4,,,,,,,31.38,31.38
82,Tony Hawk's,Series,1999,Sports,Activision  ,Neversoft  ,,,,,,,,31.12,31.12
83,Tom Clancy's Splinter Cell,Series,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,31,31
84,Age of Empires,Series,1997,Strategy,Microsoft  ,Ensemble Studios  ,,,,,,,,30.82,30.82
85,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,,,,,,30.8,30.8
86,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,,,,,,30.32,30.32
87,Terraria,Series,2011,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,,30.3,30.3
88,Terraria,All,2011,Platform,Re-Logic  ,Re-Logic  ,,,,,,,,30.3,30.3
89,Tetris,GB,1989,Puzzle,Nintendo  ,Bullet Proof Software  ,,,,,,,,30.26,30.26
90,Call of Duty: Modern Warfare,All,N/A,Shooter,Unknown  ,Infinity Ward  ,,,,,,,,30,30
91,Command & Conquer,Series,1995,Strategy,Electronic Arts  ,Westwood Studios  ,,,,,,,,30,30
92,Diablo III,All,2015,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,30,30
93,James Bond,Series,1983,Action-Adventure,Parker Bros.  ,Richard Shepherd Software  ,,,,,,,,30,30
94,The Elder Scrolls V: Skyrim,All,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,,30,30
95,Wii Play,Series,2007,Party,Nintendo  ,Nintendo  ,,,,,,,,29.66,29.66
96,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,,,,,,28.99,28.99
97,Nintendogs,Series,2005,Simulation,Nintendo  ,Nintendo  ,,,,,,,,28.6,28.6
98,Duck Hunt,NES,1985,Shooter,Nintendo  ,Nintendo R&D1  ,,,,,,,,28.31,28.31
99,The Witcher 3: Wild Hunt,All,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,,,,28.2,28.2
100,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,,,,,,28.02,28.02
101,Souls,Series,2009,Role-Playing,Atlus  ,From Software  ,,,,,,,,28,28
102,Spider-Man,Series,N/A,Action-Adventure,Unknown  ,Parker Brothers  ,,,,,,,,28,28
103,Total War,Series,2000,Strategy,Electronic Arts  ,Creative Assembly  ,,,,,,,,27.6,27.6
104,Grand Theft Auto: San Andreas,All,2004,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,27.5,27.5
105,Portal,Series,2007,Puzzle,Valve  ,Valve  ,,,,,,,,27.03,27.03
106,FIFA 18,All,2017,Sports,Electronic Arts  ,EA Vancouver  ,,,,,,,,26.4,26.4
107,Yoshi,Series,1992,Platform,Nintendo  ,Nintendo  ,,,,,,,,26.11,26.11
108,Animal Crossing: New Horizons,NS,2020,Simulation,Nintendo  ,Nintendo  ,,,,,,,,26.04,26.04
109,Ratchet & Clank,Series,2002,Shooter,Sony Computer Entertainment  ,Insomniac Games  ,,,,,,,,26,26
110,Rayman,Series,1995,Platform,Ubisoft  ,Ubisoft  ,,,,,,,,26,26
111,Mario & Sonic at the Olympic Games,Series,2007,Sports,Sega  ,Sega  ,,,,,,,,25.67,25.67
112,Call of Duty: Black Ops,All,2010,Shooter,Activision  ,Treyarch  ,,,,,,,,25,25
113,Grand Theft Auto IV,All,2008,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,25,25
114,Puyo Puyo,Series,2002,Puzzle,THQ  ,Compile  ,,,,,,,,25,25
115,Tiger Woods PGA Tour,Series,1998,Sports,EA Sports  ,EA Redwood Shores  ,,,,,,,,25,25
116,Batman: Arkham,Series,2009,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,,24.81,24.81
117,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios  ,Good Science Studio  ,6.7,,,,,,,24,24
118,Petz,Series,N/A,Simulation,Unknown  ,PF Magic  ,,,,,,,,24,24
119,The Last of Us,Series,2013,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,24,24
120,Nintendogs,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.4,,,,,,,23.96,23.96
121,Tales of,Series,1998,Role-Playing,Namco  ,Bandai Namco Studios  ,,,,,,,,23.86,23.86
122,Mario Kart DS,DS,2005,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,,,,,,23.6,23.6
123,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo  ,Game Freak  ,9.2,,,,,,,23.1,23.1
124,Gears of War,Series,2006,Shooter,Microsoft Game Studios  ,Epic Games  ,,,,,,,,23,23
125,Wii Fit,Wii,2008,Sports,Nintendo  ,Nintendo EAD  ,7.9,,,,,,,22.67,22.67
126,Jikkyo Powerful Pro Yakyu,Series,1994,Sports,Konami  ,Konami  ,,,,,,,,22.6,22.6
127,Borderlands 2,All,N/A,Shooter,Unknown  ,Gearbox Software  ,,,,,,,,22,22
128,Call of Duty: Modern Warfare 2,All,N/A,Shooter,Unknown  ,Infinity Ward  ,,,,,,,,22,22
129,Devil May Cry,Series,2001,Action,Capcom  ,Capcom  ,,,,,,,,22,22
130,Castlevania,Series,1986,Action-Adventure,Konami  ,Konami  ,,,,,,,,21.63,21.63
131,Wii Fit Plus,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8,,,,,,,21.13,21.13
132,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,,,,,,21.1,21.1
133,Dynasty Warriors,Series,N/A,Action,Unknown  ,Omega Force  ,,,,,,,,21,21
134,Imagine,Series,2007,Simulation,Ubisoft  ,Ubisoft  ,,,,,,,,21,21
135,Super Mario World,SNES,1991,Platform,Nintendo  ,Nintendo EAD  ,8.5,,,,,,,20.61,20.61
136,Grand Theft Auto V,PS3,2013,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32,,20.32
137,Fallout 4,All,N/A,Role-Playing,Unknown  ,Bethesda Game Studios  ,,,,,,,,20,20
138,FIFA 19,All,N/A,Sports,Unknown  ,EA Vancouver  ,,,,,,,,20,20
139,Football Manager,Series,2004,Simulation,Sega  ,Sports Interactive  ,,,,,,,,20,20
140,Frogger,Series,1981,Action,Konami  ,Konami  ,,,,,,,,20,20
141,Gundam,Series,N/A,Action-Adventure,Unknown  ,Banpresto  ,,,,,,,,20,20
142,Lemmings,Series,1991,Puzzle,Psygnosis  ,DMA Design  ,,,,,,,,20,20
143,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,,,,,,20,20
144,Naruto: Ultimate Ninja,Series,2006,Fighting,Bandai Namco Entertainment  ,CyberConnect2  ,,,,,,,,20,20
145,Prince of Persia,Series,1989,Action-Adventure,Broderbund  ,Broderbund  ,,,,,,,,20,20
146,Rayman Raving Rabbids,Series,2006,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,20,20
147,SimCity,Series,1989,Simulation,Maxis  ,Maxis  ,,,,,,,,20,20
148,SingStar,Series,N/A,Music,Unknown  ,London Studios  ,,,,,,,,20,20
149,SpongeBob SquarePants,Series,2001,Action-Adventure,THQ  ,Vicarious Visions  ,,,,,,,,20,20
150,Spyro,Series,1998,Platform,Sony Computer Entertainment  ,Insomniac Games  ,,,,,,,,20,20
151,Tom Clancy's The Division,Series,2016,Shooter,Ubisoft  ,Massive Entertainment  ,,,,,,,,20,20
152,Watch Dogs,Series,N/A,Action-Adventure,Unknown  ,Ubisoft  ,,,,,,,,20,20
153,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10,,,,,,19.74,19.74
154,Grand Theft Auto V,PS4,2014,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39,,19.39
155,StarCraft,Series,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,19.1,19.1
156,Super Robot Wars,Series,1991,Role-Playing,Bandai  ,Banpresto  ,,,,,,,,19.1,19.1
157,Teenage Mutant Ninja Turtles,Series,1989,Action-Adventure,Konami  ,Konami  ,,,,,,,,19.1,19.1
158,Pokémon Sword / Shield,NS,2019,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,,19.02,19.02
159,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo  ,Nintendo SDD  ,8.1,,,,,,,19.01,19.01
160,Call of Duty: Ghosts,All,N/A,Shooter,Unknown  ,Infinity Ward  ,,,,,,,,19,19
161,Driver,Series,1999,Racing,GT Interactive  ,Ubisoft Reflections  ,,,,,,,,19,19
162,WarCraft,Series,N/A,Strategy,Unknown  ,Blizzard Entertainment  ,,,,,,,,19,19
163,Super Mario Odyssey,NS,2017,Platform,Nintendo  ,Nintendo EPD  ,9.9,,,,,,,18.99,18.99
164,Mario Kart 7,3DS,2011,Racing,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,,,,,,18.92,18.92
165,Midnight Club,Series,2000,Racing,Rockstar Games  ,Rockstar San Diego  ,,,,,,,,18.5,18.5
166,Super Mario Land,GB,1989,Platform,Nintendo  ,Nintendo R&D1  ,,,,,,,,18.14,18.14
167,Pokémon Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo  ,Game Freak  ,8.6,,,,,,,17.67,17.67
168,Grand Theft Auto: Vice City,All,N/A,Action-Adventure,Unknown  ,Rockstar North  ,,,,,,,,17.5,17.5
169,Luigi's Mansion,Series,2001,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,,17.49,17.49
170,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games  ,Rockstar North  ,9.5,,,,,,,17.3,17.3
171,Super Mario Bros. 3,NES,1990,Platform,Nintendo  ,Nintendo R&D2  ,,,,,,,,17.28,17.28
172,RollerCoaster Tycoon,Series,1999,Simulation,Hasbro Interactive  ,Chris Sawyer Productions  ,,,,,,,,17.23,17.23
173,The Lord of the Rings,Series,N/A,Action-Adventure,Unknown  ,Beam Software  ,,,,,,,,17.17,17.17
174,Professor Layton,Series,2008,Adventure,Nintendo  ,Level-5  ,,,,,,,,17,17
175,Zuma,Series,2003,Puzzle,PopCap Games  ,Oberon Media  ,,,,,,,,17,17
176,Zuma,All,N/A,Puzzle,Unknown  ,Oberon Media  ,,,,,,,,17,17
177,Garry's Mod,PC,2006,Misc,Valve  ,Facepunch Studios  ,,,,,,,,16.9,16.9
178,Hitman,Series,2000,Action-Adventure,Eidos Interactive  ,IO Interactive  ,,,,,,,,16.59,16.59
179,Pokémon X/Y,3DS,2013,Role-Playing,Nintendo  ,Game Freak  ,8.9,9.7,,,,,,16.49,16.49
180,Monster Hunter: World,All,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,,16.4,16.4
181,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,,,,,,16.25,16.25
182,Pokémon Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo  ,Game Freak  ,8.8,,,,,,,16.22,16.22
183,Splatoon,Series,2015,Shooter,Nintendo  ,Nintendo  ,,,,,,,,16.22,16.22
184,Pokémon Sun/Moon,3DS,2016,Role-Playing,Nintendo  ,Game Freak  ,9,,,,,,,16.2,16.2
185,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15,,16.15
186,Ace Combat,Series,1995,Simulation,Namco  ,Namco  ,,,,,,,,16,16
187,FIFA 11,All,N/A,Sports,Unknown  ,EA Canada  ,,,,,,,,16,16
188,Mass Effect,Series,2007,Role-Playing,Microsoft Game Studios  ,BioWare  ,,,,,,,,16,16
189,Need for Speed: Most Wanted,All,N/A,Racing,Unknown  ,EA Canada  ,,,,,,,,16,16
190,The Sims,All,N/A,Simulation,Unknown  ,Maxis  ,,,,,,,,16,16
191,Final Fantasy X/X-2,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,15.97,15.97
192,Grand Theft Auto V,X360,2013,Action,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86,,15.86
193,Naruto: Ultimate Ninja Storm,Series,N/A,Fighting,Unknown  ,CyberConnect2  ,,,,,,,,15.66,15.66
194,Pokémon Black / White Version,DS,2011,Role-Playing,Nintendo  ,Game Freak  ,8.6,9,,,,,,15.64,15.64
195,Mario Tennis,Series,1995,Sports,Nintendo  ,Nintendo  ,,,,,,,,15.24,15.24
196,Pokemon Mystery Dungeon,Series,2006,Role-Playing,Nintendo  ,Chunsoft  ,,,,,,,,15.22,15.22
197,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09,,15.09
198,Counter-Strike: Source,PC,2004,Shooter,VU Games  ,Valve Software  ,9.3,,,,,,,15,15
199,Backyard Sports,Series,1997,Sports,Humongous Entertainment  ,Humongous Entertainment  ,,,,,,,,15,15
200,Barbie,Series,N/A,Action-Adventure,Unknown  ,Imagineering  ,,,,,,,,15,15
201,Battlefield 3,All,N/A,Shooter,Unknown  ,EA DICE  ,,,,,,,,15,15
202,Burnout,Series,2001,Racing,Acclaim Entertainment  ,Criterion Games  ,,,,,,,,15,15
203,Famista,Series,1986,Sports,Namco  ,Namco  ,,,,,,,,15,15
204,Gex,Series,1995,Platform,BMG Interactive Entertainment  ,Crystal Dynamics  ,,,,,,,,15,15
205,Just Cause,Series,2006,Shooter,Eidos Interactive  ,Avalanche Studios  ,,,,,,,,15,15
206,Need for Speed: Underground,All,N/A,Racing,Unknown  ,EA Black Box  ,,,,,,,,15,15
207,Red Dead Redemption,All,N/A,Action-Adventure,Unknown  ,Rockstar San Diego  ,,,,,,,,15,15
208,Sonic the Hedgehog,GEN,1991,Platform,Sega  ,Sonic Team  ,,,,,,,,15,15
209,SoulCalibur,Series,1996,Fighting,Namco  ,Project Soul  ,,,,,,,,15,15
210,The Elder Scrolls Online,All,N/A,Role-Playing,Unknown  ,ZeniMax Online Studios  ,,,,,,,,15,15
211,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,,,,,,14.89,14.89
212,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo  ,Nintendo SDD  ,8,,,,,,,14.88,14.88
213,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82,,14.82
214,Call of Duty: Black Ops,X360,2010,Shooter,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74,,14.74
215,Pokémon Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo  ,Game Freak  ,8.7,,,,,,,14.64,14.64
216,FIFA 13,All,N/A,Sports,Unknown  ,EA Canada  ,,,,,,,,14.5,14.5
217,Grand Theft Auto III,All,N/A,Action-Adventure,Unknown  ,Rockstar North  ,,,,,,,,14.5,14.5
218,Halo 3,X360,2007,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,,,,,,14.5,14.5
219,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,,14.34,14.34
220,Everybody's Golf,Series,1998,Sports,Sony Computer Entertainment  ,Camelot Software  ,,,,,,,,14.19,14.19
221,Dead Rising,Series,2006,Action-Adventure,Capcom  ,Capcom  ,,,,,,,,14,14
222,Mafia,Series,N/A,Action-Adventure,Unknown  ,Illusion Softworks  ,,,,,,,,14,14
223,NBA 2K20,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,14,14
224,Star Wars Battlefront (2015),All,N/A,Shooter,Unknown  ,EA DICE  ,,,,,,,,14,14
225,Terraria,PC,2011,Platform,Unknown  ,Re-Logic  ,8.8,,,,,,,14,14
226,Yo-kai Watch,Series,2015,Role-Playing,Nintendo  ,Level 5  ,,,,,,,,14,14
227,Portal,All,N/A,Puzzle,Unknown  ,Valve  ,,,,,,,,13.97,13.97
228,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94,,13.94
229,Metroid,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,,13.9,13.9
230,Call of Duty: Black Ops II,X360,2012,Shooter,Activision  ,Treyarch  ,,,8.27,4.32,0.07,1.2,13.86,,13.86
231,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision  ,Treyarch  ,,,4.99,5.88,0.65,2.28,13.8,,13.8
232,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision  ,Infinity Ward  ,9.5,9,8.54,3.63,0.08,1.28,13.53,,13.53
233,Guild Wars,Series,2005,MMO,NCSoft  ,ArenaNet  ,,,,,,,,13.5,13.5
234,Call of Duty: WWII,PS4,2017,Shooter,Activision  ,Sledgehammer Games  ,8,,4.67,6.21,0.4,2.12,13.4,,13.4
235,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo  ,Nintendo  ,7.5,,,,,,,13.37,13.37
236,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35,,13.35
237,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,,,,,,13.32,13.32
238,Momotaro Dentetsu,Series,1988,Board Game,Hudson Soft  ,Hudson Soft  ,,,,,,,,13.16,13.16
239,Grand Theft Auto III,PS2,2001,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1,,13.1
240,Portal 2,PC,2011,Shooter,Valve  ,Valve Software  ,9.7,,,,,,,13.06,13.06
241,Saints Row,Series,2006,Sandbox,THQ  ,Volition  ,,,,,,,,13.04,13.04
242,Call of Duty 4: Modern Warfare,All,N/A,Shooter,Unknown  ,Infinity Ward  ,,,,,,,,13,13
243,Minecraft,X360,2013,Misc,Microsoft Studios  ,Mojang  ,,,,,,,,13,13
244,Persona,Series,1996,Role-Playing,Atlus  ,Atlus  ,,,,,,,,13,13
245,Scribblenauts,Series,2009,Puzzle,Warner Bros. Interactive Entertainment  ,5th Cell  ,,,,,,,,13,13
246,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo  ,Nintendo EAD  ,8.6,,,,,,,12.82,12.82
247,Paper Mario,Series,2001,Role-Playing,Nintendo  ,Intelligent Systems  ,,,,,,,,12.8,12.8
248,Super Mario Galaxy,Wii,2007,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,,,,,,12.8,12.8
249,Super Mario 3D Land,3DS,2011,Platform,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,,,,,,12.77,12.77
250,Pokémon Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo  ,Game Freak  ,8.6,,,,,,,12.72,12.72
